"ET_ID";"Id";"ET_Index";"Temp_21";"Prec_21";"BIO12_Prec";"X_cen";"Y_cen";"R_Odonata";"R_Lotic";"R_Lentic";"Temp_0";"Prec_0";"vart";"varp";"H_Lent";"H_Lot"
1394;0;"12--14";12.9352;277.72;501.019;2925000;1925000;39;7;32;15;470.75;2.0648;193.03;108640000;344667
1395;0;"12--15";13.4343;240.106;472.747;2975000;1925000;37;7;30;13.6;649;0.165699999999999;408.894;75650000;501075
1396;0;"12--16";12.3064;307.15;457.647;3025000;1925000;37;11;26;13;682.25;0.6936;375.1;70400000;271320
1397;0;"12--17";12.5008;288.375;456.796;3075000;1925000;34;9;25;13;624;0.4992;335.625;94730000;138643
1398;0;"12--18";13.0548;212.802;455.392;3125000;1925000;33;9;24;13;466.5;-0.0548000000000002;253.698;8160000;79002
1399;0;"12--19";13.0227;179.304;424.369;3175000;1925000;35;11;24;13;417.2;-0.0227000000000004;237.896;43250000;193940
1400;0;"12--20";12.5437;166.294;443.249;3225000;1925000;34;8;26;12.5;453.5;-0.0436999999999994;287.206;9190000;111327
1401;0;"12--21";12.4221;156.936;474.802;3275000;1925000;32;8;24;11.6667;482;-0.7554;325.064;80480000;184332
1402;0;"12--22";12.4707;150.26;475.78;3325000;1925000;40;9;31;11;559.167;-1.4707;408.907;15320000;173395
1403;0;"12--23";11.8386;140.477;478.635;3375000;1925000;50;16;34;12;493.5;0.1614;353.023;76560000;165627
1404;0;"12--24";11.878;116.533;466.877;3425000;1925000;56;16;40;14;420;2.122;303.467;34880000;155006
1405;0;"12--25";12.0203;90.284;455.989;3475000;1925000;49;14;35;14.8;532;2.7797;441.716;7.8e+07;44781
1430;0;"12--50";12.8308;222.904;855.061;4725000;1925000;40;9;31;13.5;1209.5;0.6692;986.596;0;15898
1431;0;"12--51";12.6797;225.383;764.776;4775000;1925000;46;9;37;13;1221;0.3203;995.617;1650000;92986
1433;0;"12--53";12.7265;222.947;642.183;4875000;1925000;47;8;39;15;926;2.2735;703.053;13190000;210982
1435;0;"12--55";12.6637;223.907;544.332;4975000;1925000;24;2;22;16.6667;570.333;4.003;346.426;0;0
1436;0;"12--56";12.4348;235.912;635.032;5025000;1925000;33;2;31;16;616;3.5652;380.088;0;0
1439;0;"12--59";12.2666;249.796;1306.44;5175000;1925000;43;10;33;14;1339.33;1.7334;1089.534;4130000;0
1440;0;"12--60";12.2837;246.887;1165.55;5225000;1925000;47;12;35;13.6667;1395;1.383;1148.113;2320000;102952
1441;0;"12--61";12.0781;249.535;946.544;5275000;1925000;42;11;31;12.5;1324.17;0.421900000000001;1074.635;30630000;125742
1442;0;"12--62";13.1557;195.27;725.593;5325000;1925000;40;10;30;13.75;1089;0.5943;893.73;3510000;183989
1443;0;"12--63";12.6864;210.284;533.459;5375000;1925000;42;10;32;14.6667;766;1.9803;555.716;4110000;289522
1444;0;"12--64";12.6662;209.99;527.952;5425000;1925000;42;10;32;15;600.8;2.3338;390.81;45160000;77767
1445;0;"12--65";12.6951;206.893;550.1;5475000;1925000;35;7;28;15;623;2.3049;416.107;0;0
1503;0;"13--8";11.4952;277.092;800.39;2625000;1975000;28;4;24;15;622.5;3.5048;345.408;0;0
1504;0;"13--9";11.5624;289.276;732.789;2675000;1975000;36;6;30;15;666.6;3.4376;377.324;2960000;195537
1505;0;"13--10";11.8021;299.789;689.925;2725000;1975000;38;8;30;15.3333;702.667;3.5312;402.878;10010000;336503
1507;0;"13--12";11.5468;383.06;745.224;2825000;1975000;44;12;32;15;659.75;3.4532;276.69;82520000;275789
1508;0;"13--13";12.1789;346.211;614.634;2875000;1975000;45;12;33;15;547.4;2.8211;201.189;12940000;163507
1509;0;"13--14";12.3948;322.906;509.188;2925000;1975000;45;12;33;15;510.75;2.6052;187.844;21250000;290275
1510;0;"13--15";12.1355;328.33;472.53;2975000;1975000;47;13;34;14;755.667;1.8645;427.337;26240000;336876
1511;0;"13--16";12.2558;315.298;428.684;3025000;1975000;45;13;32;12.8;1004.8;0.5442;689.502;58810000;231790
1513;0;"13--18";11.8108;309.315;404.501;3125000;1975000;42;12;30;13;573.333;1.1892;264.018;5730000;290440
1514;0;"13--19";11.8941;230.032;429.774;3175000;1975000;42;12;30;12.8;429.4;0.905900000000001;199.368;6970000;250324
1515;0;"13--20";11.8881;175.668;461.07;3225000;1975000;40;11;29;11.4;475.4;-0.488099999999999;299.732;6180000;272182
1516;0;"13--21";11.7503;162.695;521.39;3275000;1975000;37;10;27;10.3333;585;-1.417;422.305;49160000;207694
1517;0;"13--22";11.78;162.058;571.717;3325000;1975000;39;9;30;9;770;-2.78;607.942;1370000;212062
1518;0;"13--23";11.7696;163.478;508.302;3375000;1975000;43;10;33;9;732;-2.7696;568.522;57190000;158583
1519;0;"13--24";11.6224;137.507;597.088;3425000;1975000;48;12;36;10.5;641.25;-1.1224;503.743;2870000;156357
1520;0;"13--25";11.9373;91.5907;531.516;3475000;1975000;47;13;34;13.3333;552.667;1.396;461.0763;152680000;172415
1521;0;"13--26";11.9894;84.8058;534.491;3525000;1975000;48;13;35;14.8333;601.667;2.8439;516.8612;80440000;54908
1544;0;"13--49";12.436;230.938;868.79;4675000;1975000;49;12;37;15.4;1048.2;2.964;817.262;5350000;0
1547;0;"13--52";12.4147;233.5;620.658;4825000;1975000;46;9;37;13;893;0.5853;659.5;8670000;124825
1548;0;"13--53";12.4894;230.325;593.939;4875000;1975000;42;6;36;14.5;708.75;2.0106;478.425;8770000;132469
1549;0;"13--54";12.6331;224.426;578.28;4925000;1975000;39;4;35;16;581.25;3.3669;356.824;0;4622
1550;0;"13--55";12.5633;227.97;572.468;4975000;1975000;32;2;30;16.5;563.75;3.9367;335.78;2660000;0
1551;0;"13--56";12.2585;243.173;615.844;5025000;1975000;31;2;29;16;614;3.7415;370.827;0;0
1553;0;"13--58";12.0252;259.582;1078.62;5125000;1975000;39;8;31;14.25;1217.25;2.2248;957.668;5320000;0
1554;0;"13--59";12.192;254.834;1185.73;5175000;1975000;42;10;32;12.3333;1324.33;0.141299999999999;1069.496;1120000;0
1555;0;"13--60";12.0321;258.92;1025.86;5225000;1975000;45;11;34;10.5;1283.67;-1.5321;1024.75;1350000;44464
1557;0;"13--62";12.0189;246.333;623.394;5325000;1975000;44;11;33;11.25;897;-0.7689;650.667;64170000;138390
1558;0;"13--63";12.0516;239.49;574.544;5375000;1975000;45;11;34;13.25;697;1.1984;457.51;80000;132595
1559;0;"13--64";12.1571;232.506;489.261;5425000;1975000;48;12;36;15.2;518.8;3.0429;286.294;0;14008
1560;0;"13--65";12.1107;229.252;467.484;5475000;1975000;41;7;34;15;488.75;2.8893;259.498;0;0
1561;0;"13--66";12.2123;217.653;495.238;5525000;1975000;37;6;31;15;564;2.7877;346.347;0;0
1619;0;"14--9";11.1759;331.719;716.453;2675000;2025000;33;6;27;15;740;3.8241;408.281;79200000;91842
1620;0;"14--10";11.0501;377.101;809.244;2725000;2025000;39;9;30;14.6;842;3.5499;464.899;75820000;220127
1621;0;"14--11";11.4027;392.131;877.003;2775000;2025000;45;14;31;14.2;1021.6;2.7973;629.469;33710000;339898
1623;0;"14--13";11.2284;433.622;678.082;2875000;2025000;50;13;37;15;693.667;3.7716;260.045;40690000;254792
1624;0;"14--14";11.3575;399.756;530.299;2925000;2025000;50;14;36;14.4;542.4;3.0425;142.644;40300000;249684
1625;0;"14--15";11.4596;371.211;487.614;2975000;2025000;48;14;34;12.6;802.8;1.1404;431.589;75060000;217109
1626;0;"14--16";11.6268;354.924;465.808;3025000;2025000;44;13;31;10.3333;944;-1.2935;589.076;20080000;162177
1627;0;"14--17";11.6426;351.316;400.436;3075000;2025000;39;11;28;10.4;787;-1.2426;435.684;166690000;173170
1628;0;"14--18";11.4677;352.017;407.314;3125000;2025000;46;13;33;12.6;637;1.1323;284.983;9430000;236810
1629;0;"14--19";11.5345;275.523;439.532;3175000;2025000;49;14;35;12.3333;474.333;0.7988;198.81;84070000;341258
1630;0;"14--20";11.5844;186.819;449.825;3225000;2025000;42;11;31;11;568.4;-0.5844;381.581;68980000;239373
1631;0;"14--21";11.591;159.397;499.286;3275000;2025000;42;10;32;10;741.8;-1.591;582.403;157790000;272725
1632;0;"14--22";11.56;166.996;571.122;3325000;2025000;43;9;34;10;719.5;-1.56;552.504;3e+05;206819
1633;0;"14--23";11.508;174.427;490.454;3375000;2025000;43;10;33;10;595.5;-1.508;421.073;2410000;107648
1635;0;"14--25";11.4183;131.879;531.55;3475000;2025000;52;15;37;12.5;597.25;1.0817;465.371;4350000;243507
